"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Lobo marino común","No data","No data","1/27/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","U. San Sebastián - Pto Montt","1/27/2017","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Calbuco","1/27/2017","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","U. San Sebastián - Pto Montt","1/27/2017","Otro","Muerte"
"Lobo marino común","No data","No data","1/28/2017","No data","No data"
"Pato Jergón chico","No data","Puerto Varas","2/3/2017","No data","No data"
"Gaviota dominicana","No data","Puerto Varas","2/3/2017","No data","No data"
"Lobo marino común","Juvenil","No data","2/4/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Pto Montt","2/5/2017","Trauma","Liberación"
"Pingüino de Magallanes","Adulto","Pto Montt","2/5/2017","Otro","Muerte"
"Cachaña","No data","No data","2/5/2017","No data","No data"
"Pudú","Adulto","No data","2/6/2017","Ataque de perros","Muerte"
"Huairavo","No data","No data","2/6/2017","No data","No data"
"Tortuga verde","No data","No data","2/9/2017","No data","No data"
"Gaviota Cahuil","No data","No data","2/10/2017","No data","No data"
"Pudú","Adulto","Dalcahue","2/11/2017","Atropello","Muerte"
"Cormorán yeco","No data","Ancud ","2/13/2017","Trauma","Muerte"
"Pudú","Juvenil","Calbuco","2/14/2017","Orfandad","Exhibición"
"Traro","No data","Chaitén","2/14/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Hualaihué","2/16/2017","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/18/2017","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/19/2017","Trauma","Liberación"
"Concón","No data","No data","2/25/2017","No data","No data"
"Peuquito","No data","No data","3/11/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Dalcahue","3/25/2017","Otro","Muerte"
"Loro Choroy","Adulto","No data","4/8/2017","Trauma","No data"
"Loro Choroy","Adulto","No data","4/8/2017","No data","No data"
"Cachaña","No data","No data","4/8/2017","No data","No data"
"Cachaña","No data","No data","4/8/2017","No data","No data"
"Lobo marino común","Adulto","Quemchi","4/23/2017","Trauma","No data"
"Pingüino de Magallanes","Adulto","Ancud ","4/28/2017","Trauma","Muerte"
"Cormorán yeco","No data","Castro","5/2/2017","No data","No data"
"Tórtola","Juvenil","Ancud ","5/6/2017","Trauma","No data"
"Halcón peregrino","Adulto","Dalcahue","5/7/2017","Trauma","No data"
"Gaviota dominicana","Adulto","No data","5/12/2017","Trauma","No data"
"Petrel-Paloma Antártico","Adulto","Ancud ","5/15/2017","Otro","No data"
"Cachaña","Adulto","Ancud ","5/24/2017","Trauma","No data"
"Lobo marino común","Juvenil","Castro","6/9/2017","Otro","No data"
"Gaviota dominicana","No data","No data","6/21/2017","No data","No data"
"Cormorán lile","No data","Ancud ","6/21/2017","No data","No data"
"Pelícano","No data","Ancud ","6/22/2017","Trauma","No data"
"Pelícano","No data","Ancud","7/14/2017","No data","No data"
"Huairavo","No data","Ancud","7/21/2017","Trauma","No data"
"Pato Quetru","No data","No data","7/21/2017","No data","Remisión"
"Pudú","Adulto","Ancud ","7/23/2017","Ingreso muerto","Muerte"
"Pelícano","Juvenil","Ancud","8/11/2017","Trauma","No data"
"Pingüino de Magallanes","Juvenil","Quinchao","8/13/2017","Otro","Muerte"
"Guiña","Adulto","No data","8/18/2017","Ingreso muerto","No data"
"Pudú","Juvenil","Ancud ","8/19/2017","No data","Muerte"
"Pelícano","Adulto","Ancud","8/26/2017","Trauma","No data"
"Lobo marino común","No data","Quellón","9/11/2017","Trauma","No data"
"Pudú","No data","Ancud","9/28/2017","Ingreso muerto","Muerte"
"Loro Choroy","No data","Ancud","10/3/2017","Otro","No data"
"Pudú","Adulto","Castro","10/5/2017","Atropello","Muerte"
"Gaviota dominicana","No data","Castro","10/5/2017","Trauma","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
